Date,Total System Usage,Area(This is for all Oahu,Energy Type,Energy Type Usage
1/11/2014 12:00:00,873.3,Total_System_Generation,WindFarm,0
1/11/2014 12:00:00,873.3,Total_System_Generation,Solar,3.5
1/11/2014 12:00:00,873.3,Total_System_Generation,Waste2Energy,45.8
1/11/2014 12:00:00,873.3,Total_System_Generation,Fossil_Fuel,643.6
1/12/2014 12:00:00,769.1,Total_System_Generation,Coal,179.8
1/12/2014 12:00:00,769.1,Total_System_Generation,BioFuel,0
1/12/2014 12:00:00,769.1,Total_System_Generation,WindFarm,4.8
1/12/2014 12:00:00,769.1,Total_System_Generation,Solar,7.9
1/12/2014 12:00:00,769.1,Total_System_Generation,Waste2Energy,43.8
1/12/2014 12:00:00,769.1,Total_System_Generation,Fossil_Fuel,532.8
1/13/2014 12:00:00,901.9,Total_System_Generation,Coal,180.1
1/13/2014 12:00:00,901.9,Total_System_Generation,BioFuel,0
1/13/2014 12:00:00,901.9,Total_System_Generation,WindFarm,0
1/13/2014 12:00:00,901.9,Total_System_Generation,Solar,7.7
1/13/2014 12:00:00,901.9,Total_System_Generation,Waste2Energy,63.3
1/13/2014 12:00:00,901.9,Total_System_Generation,Fossil_Fuel,650.8
1/14/2014 12:00:00,976,Total_System_Generation,Coal,180.3
1/14/2014 12:00:00,976,Total_System_Generation,BioFuel,0
1/14/2014 12:00:00,976,Total_System_Generation,WindFarm,4.8
1/14/2014 12:00:00,976,Total_System_Generation,Solar,115
1/14/2014 12:00:00,976,Total_System_Generation,Waste2Energy,65
1/14/2014 12:00:00,976,Total_System_Generation,Fossil_Fuel,610.9
1/15/2014 12:00:00,1,Total_System_Generation,Coal,180.1
1/15/2014 12:00:00,1,Total_System_Generation,BioFuel,0
1/15/2014 12:00:00,1,Total_System_Generation,WindFarm,1.4
1/15/2014 12:00:00,1,Total_System_Generation,Solar,136.7
1/15/2014 12:00:00,1,Total_System_Generation,Waste2Energy,63.6
1/15/2014 12:00:00,1,Total_System_Generation,Fossil_Fuel,626.2
1/16/2014 12:00:00,995.1,Total_System_Generation,Coal,180
1/16/2014 12:00:00,995.1,Total_System_Generation,BioFuel,0
1/16/2014 12:00:00,995.1,Total_System_Generation,WindFarm,7.4
1/16/2014 12:00:00,995.1,Total_System_Generation,Solar,145.7
1/16/2014 12:00:00,995.1,Total_System_Generation,Waste2Energy,64.8
1/16/2014 12:00:00,995.1,Total_System_Generation,Fossil_Fuel,597.2
1/17/2014 12:00:00,1,Total_System_Generation,Coal,180.3
1/17/2014 12:00:00,1,Total_System_Generation,BioFuel,0
1/17/2014 12:00:00,1,Total_System_Generation,WindFarm,0
1/17/2014 12:00:00,1,Total_System_Generation,Solar,143.3
1/17/2014 12:00:00,1,Total_System_Generation,Waste2Energy,61.3
1/17/2014 12:00:00,1,Total_System_Generation,Fossil_Fuel,627.2
1/18/2014 12:00:00,927.2,Total_System_Generation,Coal,180.1
1/18/2014 12:00:00,927.2,Total_System_Generation,BioFuel,0
1/18/2014 12:00:00,927.2,Total_System_Generation,WindFarm,0
1/18/2014 12:00:00,927.2,Total_System_Generation,Solar,150.4
1/18/2014 12:00:00,927.2,Total_System_Generation,Waste2Energy,36.2
